'bassin';'cycle';'produit';'daterempli';'datevide';'carpes';'datepsemis';'datedp�che';'nbremois';'poidssem�';'poidsp�ch�';'poidsrestant';'poidsp�ch�restant';'Tauxmortalit�';'poidsalimentth�o';'poidsalimentstat';'poidsalimentdonn�pgm';'poidsalimentdonn�';'poidsalimentdonn�tot';'quantsem�e';'quantmort';'quantp�ch�e';'quantrestante';'surface';'RendementHa';'poidsp�ch�mois';'tauxconversion';'quantit�m2';'grammesm2';'poidsalimentha';'recambiogallons';'llenadogallons';'quantsem�ecarpes';'quantp�ch�ecarpes';'tauxalerteO2';'niveaudalerteO2';'moyenneO2';'poidstotalimentselect';'typealimentselect'
'B45';18;'crevette';27/12/2016;13/6/2017;0;29/12/2016;13/6/2017;5,44;239,00;1609,00;0,00;1609,00;0,12;0,00;0,00;0,00;0,00;2785,00;30399,00;3726,00;26673,00;0,00;4800,00;2856,98;295,62;2,03;0,00;0,00;0,00;0,00;0,00;50,00;106,00;0,00;1,00;3,67;0,00;
'B02';53;'crevette';29/12/2016;10/3/2017;0;29/12/2016;10/3/2017;2,32;1,47;197,00;0,00;197,00;0,27;0,00;0,00;0,00;0,00;322,00;72424,00;19786,00;52638,00;0,00;1233,00;3711,21;84,62;1,64;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;4,68;0,00;
'MF';5;'crevette';26/12/2016;19/7/2017;0;30/12/2016;20/7/2017;6,59;654,00;3277,00;0,00;3277,00;0,28;0,00;0,00;0,00;0,00;6119,00;52007,00;15057,00;37704,00;0,00;8500,00;2551,05;497,25;2,33;0,00;0,00;0,00;0,00;0,00;167,00;132,00;0,00;1,00;3,29;0,00;
'B44';21;'crevette';30/12/2016;6/6/2017;0;6/1/2017;6/6/2017;4,95;388,00;1632,00;0,00;1632,00;0,27;0,00;0,00;0,00;0,00;2511,00;38493,00;10443,00;28050,00;0,00;6278,00;2180,51;329,64;2,01;0,00;0,00;0,00;0,00;0,00;119,00;82,00;0,04;1,00;2,42;0,00;
'B25';26;'crevette';30/12/2016;7/6/2017;0;6/1/2017;7/6/2017;4,98;266,00;1257,00;0,00;1257,00;0,27;0,00;0,00;0,00;0,00;2260,00;28728,00;7787,00;20941,00;0,00;4774,00;2269,26;252,22;2,28;0,00;0,00;0,00;0,00;0,00;95,00;83,00;0,00;1,00;3,10;0,00;
'B38';22;'crevette';5/1/2017;28/6/2017;0;10/1/2017;28/6/2017;5,54;400,00;1796,00;0,00;1796,00;0,18;0,00;0,00;0,00;0,00;2954,00;37010,00;6929,00;30081,00;0,00;5727,00;2396,67;324,13;2,11;0,00;0,00;0,00;0,00;0,00;50,00;70,00;0,00;1,00;2,88;0,00;
'A02';23;'tilapia';16/1/2017;24/3/2017;0;18/1/2017;24/3/2017;2,13;31,09;1479,31;0,00;1479,31;0,17;0,00;0,00;0,00;0,00;1336,00;4989,00;882,00;4107,00;0,00;3658,00;10120,76;694,13;0,92;0,00;0,00;0,00;0,00;0,00;151,00;142,00;0,00;1,00;2,56;0,00;
'B22';23;'crevette';12/1/2017;12/7/2017;0;18/1/2017;12/7/2017;5,73;673,00;1762,00;0,00;1762,00;0,28;0,00;0,00;0,00;0,00;3567,00;40841,00;11457,00;29384,00;0,00;5800,00;1782,78;307,09;3,27;0,00;0,00;0,00;0,00;0,00;111,00;108,00;0,00;1,00;3,28;0,00;
'B53';16;'crevette';19/1/2017;30/5/2017;0;27/1/2017;31/5/2017;4,03;666,00;1898,00;0,00;1898,00;0,34;0,00;0,00;0,00;0,00;3005,00;53790,00;18738,00;35052,00;0,00;8892,00;1871,72;470,64;2,43;0,00;0,00;0,00;0,00;0,00;0,00;84,00;0,01;1,00;2,45;0,00;
'NU';4;'tilapia';20/1/2017;10/2/2017;0;20/1/2017;10/2/2017;0,68;4,42;36,86;0,00;36,86;9,35137286112217e-03;0,00;0,00;0,00;0,00;34,00;5026,00;47,00;4979,00;0,00;18,00;142585,66;53,54;1,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;3,40;0,00;
'B08';36;'crevette';27/1/2017;18/7/2017;0;3/2/2017;18/7/2017;5,40;620,00;1745,00;0,00;1745,00;0,19;0,00;0,00;0,00;0,00;2703,00;38477,00;7673,00;30804,00;0,00;5894,00;1922,18;322,56;2,40;0,00;0,00;0,00;0,00;0,00;114,00;33,00;0,00;1,00;2,88;0,00;
'AD1';24;'tilapia';8/2/2017;21/4/2017;0;10/2/2017;21/4/2017;2,29;169,84;2113,00;0,00;2113,00;0,21;0,00;0,00;0,00;0,00;1914,00;7625,00;1608,00;6017,00;0,00;4726,00;9760,04;920,66;0,98;0,00;0,00;0,00;0,00;0,00;2646,00;0,00;0,00;1,00;3,42;0,00;
'B52';17;'crevette';6/2/2017;2/8/2017;0;10/2/2017;2/8/2017;5,67;523,00;1087,00;0,00;1087,00;0,58;0,00;0,00;0,00;0,00;2998,00;49150,00;28776,00;20374,00;0,00;6000,00;902,85;191,63;5,31;0,00;0,00;0,00;0,00;0,00;50,00;97,00;0,10;1,00;2,45;0,00;
'B30';25;'crevette';14/2/2017;20/6/2017;0;16/2/2017;21/6/2017;4,06;538,00;753,00;0,00;753,00;0,24;0,00;0,00;0,00;0,00;1295,00;17799,00;4291,00;13508,00;0,00;3360,00;857,46;185,21;6,02;0,00;0,00;0,00;0,00;0,00;76,00;91,00;0,00;1,00;3,27;0,00;
'B10';29;'crevette';13/2/2017;4/9/2017;0;16/2/2017;4/9/2017;6,55;179,00;1340,00;0,00;1340,00;0,26;0,00;0,00;0,00;0,00;3013,00;36823,00;9856,00;26967,00;0,00;5940,00;1623,87;204,35;2,59;0,00;0,00;0,00;0,00;0,00;120,00;144,00;0,02;1,00;2,70;0,00;
'B41';22;'crevette';13/2/2017;15/8/2017;0;17/2/2017;14/8/2017;5,86;211,00;727,00;0,00;727,00;0,66;0,00;0,00;0,00;0,00;2421,00;39303,00;26077,00;13226,00;0,00;6275,00;763,34;123,87;4,69;0,00;0,00;0,00;0,00;0,00;45,00;55,00;0,02;1,00;2,14;0,00;
'B11';32;'crevette';16/2/2017;3/7/2017;0;21/2/2017;3/7/2017;4,32;5,72;1703,00;0,00;1703,00;0,30;0,00;0,00;0,00;0,00;2345,00;302908,00;91137,00;211771,00;0,00;3840,00;5563,95;393,49;1,38;0,00;0,00;0,00;0,00;0,00;40,00;0,00;0,01;1,00;2,98;0,00;
