'bassin';'cycle';'lot';'datesemis';'quantit�';'quantit�ml';'quantit�lb';'poids';'commentaire';'grpoisson';'esp�ce'
'B08';0;0;15/1/2007;11,00;0,00;1,00;11,00;'B25';454,00;'CAR'
'B08';0;0;15/1/2007;2,00;0,00;1,00;2,00;'B20';454,00;'CAR'
'B29';13;4;16/1/2007;5940,00;0,00;54,00;110,00;'B29';0,00;
'B05';17;2;16/1/2007;338,00;0,00;26,00;13,00;'B25';0,00;
'B29';0;0;16/1/2007;18,00;0,00;1,00;18,00;'B32';454,00;'CAR'
'B08';0;0;16/1/2007;4,00;0,00;1,00;4,00;'B25';454,00;'CAR'
'B45';7;2;17/1/2007;6500,00;0,00;50,00;130,00;'B32';0,00;
'B29';0;0;17/1/2007;6,00;0,00;1,00;6,00;'B34';454,00;'CAR'
'B29';0;0;17/1/2007;33,00;0,00;1,00;33,00;'B32';454,00;'CAR'
'B29';0;0;17/1/2007;10,00;0,00;1,00;10,00;'B34';454,00;'CAR'
'B03';29;1;19/1/2007;240,00;0,00;12,00;20,00;'A03';0,00;
'AD2';12;1;19/1/2007;9200,00;0,00;200,00;46,00;'B16';0,00;
'AD2';12;1;19/1/2007;5200,00;0,00;200,00;26,00;'A03';0,00;
'B45';7;2;19/1/2007;4488,00;0,00;68,00;66,00;'B41';0,00;
'AD2';0;0;19/1/2007;21,00;0,00;1,00;21,00;'B01';454,00;'CAR'
'B51';17;1;5/8/2011;277,00;0,00;1,30;213,00;'B53';349,10;
'B07';0;0;19/1/2007;26,00;0,00;1,00;26,00;'B01';454,00;'CAR'
