'date';'produit';'�visc�r�';'filet';'entier'
1/9/2009;'carpe';380,00;0,00;0,00
2/9/2009;'carpe';55,00;0,00;0,00
3/9/2009;'carpe';304,00;0,00;0,00
7/9/2009;'carpe';178,00;0,00;0,00
8/9/2009;'carpe';129,00;0,00;0,00
9/9/2009;'carpe';98,50;0,00;0,00
14/9/2009;'carpe';148,00;0,00;0,00
15/9/2009;'carpe';217,00;0,00;0,00
16/9/2009;'carpe';27,00;0,00;0,00
21/9/2009;'carpe';90,00;0,00;0,00
22/9/2009;'carpe';215,00;0,00;0,00
28/9/2009;'carpe';74,00;0,00;0,00
29/9/2009;;0,00;0,00;0,00
29/9/2009;'carpe';393,00;0,00;0,00
5/10/2009;'carpe';58,00;0,00;0,00
8/10/2009;'carpe';90,00;0,00;0,00
12/10/2009;'carpe';91,00;0,00;0,00
13/10/2009;'carpe';116,00;0,00;0,00
14/10/2009;'carpe';180,00;0,00;0,00
19/10/2009;'carpe';138,50;0,00;0,00
20/10/2009;'carpe';289,50;0,00;0,00
22/10/2009;'carpe';18,00;0,00;0,00
26/10/2009;'carpe';90,00;0,00;0,00
27/10/2009;'carpe';215,00;0,00;0,00
2/11/2009;'carpe';95,00;0,00;0,00
3/11/2009;'carpe';238,50;0,00;0,00
10/11/2009;'carpe';108,50;0,00;0,00
11/11/2009;'carpe';210,00;0,00;0,00
16/11/2009;'carpe';178,50;0,00;0,00
17/11/2009;'carpe';352,00;0,00;0,00
18/11/2009;'carpe';209,00;0,00;0,00
23/11/2009;'carpe';106,00;0,00;0,00
24/11/2009;'carpe';1081,00;0,00;0,00
30/11/2009;'carpe';211,00;0,00;0,00
1/12/2009;'carpe';147,50;0,00;0,00
1/12/2009;'tilapia';422,00;0,00;0,00
7/12/2009;'carpe';505,00;0,00;0,00
8/12/2009;'carpe';300,00;0,00;0,00
9/12/2009;'carpe';172,50;0,00;0,00
14/12/2009;'carpe';57,00;0,00;0,00
15/12/2009;'carpe';312,00;0,00;0,00
21/12/2009;'carpe';183,50;0,00;0,00
22/12/2009;'carpe';206,00;0,00;0,00
28/12/2009;'carpe';114,50;0,00;0,00
29/12/2009;'carpe';260,00;0,00;0,00
5/1/2010;'carpe';184,00;0,00;0,00
6/1/2010;'carpe';487,00;0,00;0,00
11/1/2010;'carpe';264,50;0,00;0,00
12/1/2010;'carpe';320,00;0,00;0,00
13/1/2010;'carpe';5,00;0,00;0,00
18/1/2010;'carpe';229,00;0,00;0,00
19/1/2010;'carpe';389,00;0,00;0,00
22/1/2010;'carpe';238,00;0,00;0,00
26/1/2010;'carpe';305,00;0,00;0,00
27/1/2010;'carpe';261,00;0,00;0,00
28/1/2010;'carpe';43,00;0,00;0,00
29/1/2010;'carpe';191,00;0,00;0,00
1/2/2010;'carpe';139,50;0,00;0,00
2/2/2010;'carpe';320,50;0,00;0,00
8/2/2010;'carpe';239,50;0,00;0,00
9/2/2010;'carpe';344,00;0,00;0,00
10/2/2010;'carpe';153,00;0,00;0,00
15/2/2010;'carpe';118,00;0,00;0,00
22/2/2010;'carpe';228,00;0,00;0,00
23/2/2010;'carpe';365,00;0,00;0,00
24/2/2010;'carpe';81,00;0,00;0,00
1/3/2010;'carpe';437,00;0,00;0,00
2/3/2010;'carpe';633,00;0,00;0,00
8/3/2010;'carpe';50,00;0,00;0,00
9/3/2010;'carpe';640,00;0,00;0,00
16/3/2010;'carpe';255,00;0,00;0,00
17/3/2010;'carpe';470,50;0,00;0,00
22/3/2010;'carpe';622,00;0,00;0,00
23/3/2010;'carpe';533,00;0,00;0,00
29/3/2010;'carpe';494,00;0,00;0,00
30/3/2010;'carpe';380,00;0,00;0,00
5/4/2010;'carpe';400,00;0,00;0,00
6/4/2010;;122,00;0,00;0,00
7/4/2010;'carpe';263,00;0,00;0,00
8/4/2010;'carpe';23,00;0,00;0,00
12/4/2010;'carpe';372,00;0,00;0,00
13/4/2010;'carpe';348,00;0,00;0,00
19/4/2010;;219,00;0,00;0,00
19/4/2010;'carpe';219,00;0,00;0,00
20/4/2010;'carpe';330,00;0,00;0,00
26/4/2010;'carpe';145,50;0,00;0,00
27/4/2010;'carpe';324,00;0,00;0,00
28/4/2010;'carpe';141,80;0,00;0,00
17/5/2010;'carpe';234,00;0,00;0,00
18/5/2010;'carpe';450,00;0,00;0,00
24/5/2010;'carpe';398,00;0,00;0,00
25/5/2010;'carpe';554,00;0,00;0,00
26/5/2010;'carpe';176,00;0,00;0,00
31/5/2010;'carpe';170,00;0,00;0,00
1/6/2010;'carpe';379,00;0,00;0,00
7/6/2010;'carpe';393,00;0,00;0,00
8/6/2010;'carpe';407,00;0,00;0,00
14/6/2010;'carpe';267,00;0,00;0,00
15/6/2010;'carpe';408,00;0,00;0,00
21/6/2010;'carpe';300,00;0,00;0,00
22/6/2010;'carpe';343,00;0,00;0,00
28/6/2010;'carpe';289,00;0,00;0,00
29/6/2010;'carpe';342,00;0,00;0,00
5/7/2010;'carpe';326,00;0,00;0,00
6/7/2010;'carpe';342,00;0,00;0,00
12/7/2010;'carpe';376,00;0,00;0,00
13/7/2010;'carpe';118,00;0,00;0,00
19/7/2010;'carpe';78,50;0,00;0,00
20/7/2010;'carpe';227,00;0,00;0,00
26/7/2010;'carpe';83,00;0,00;0,00
27/7/2010;'carpe';369,00;0,00;0,00
2/8/2010;'carpe';102,00;0,00;0,00
3/8/2010;'carpe';181,00;0,00;0,00
9/8/2010;'carpe';82,00;0,00;0,00
10/8/2010;'carpe';238,00;0,00;0,00
17/8/2010;'carpe';252,00;0,00;0,00
18/8/2010;'carpe';188,00;0,00;0,00
23/8/2010;'carpe';165,50;0,00;0,00
24/8/2010;'carpe';6,00;0,00;0,00
25/8/2010;'carpe';127,00;0,00;0,00
30/8/2010;'carpe';171,00;0,00;0,00
31/8/2010;'carpe';206,00;0,00;0,00
6/9/2010;'carpe';92,00;0,00;0,00
7/9/2010;'carpe';90,00;0,00;0,00
8/9/2010;'carpe';98,00;0,00;0,00
13/9/2010;'carpe';52,00;0,00;0,00
14/9/2010;'carpe';192,50;0,00;27,00
20/9/2010;'carpe';91,00;0,00;0,00
21/9/2010;'carpe';194,00;0,00;0,00
27/9/2010;'carpe';240,00;0,00;0,00
28/9/2010;'carpe';229,00;0,00;0,00
5/10/2010;'carpe';285,00;0,00;0,00
4/10/2010;'carpe';66,00;0,00;0,00
11/10/2010;'carpe';232,00;0,00;0,00
12/10/2010;'carpe';470,00;0,00;0,00
18/10/2010;'carpe';368,00;0,00;80,00
25/10/2010;'carpe';190,00;0,00;0,00
26/10/2010;'carpe';342,00;0,00;0,00
1/11/2010;'carpe';85,00;0,00;424,00
2/11/2010;'carpe';430,00;0,00;0,00
3/11/2010;'carpe';44,00;0,00;0,00
8/11/2010;'carpe';0,00;0,00;249,00
9/11/2010;'carpe';626,00;0,00;0,00
19/10/2010;'carpe';150,00;0,00;103,00
15/11/2010;'carpe';165,00;0,00;206,00
16/11/2010;'carpe';328,00;0,00;0,00
22/11/2010;'carpe';0,00;0,00;360,00
23/11/2010;'carpe';256,00;0,00;0,00
24/11/2010;'carpe';241,00;0,00;0,00
29/11/2010;'carpe';0,00;0,00;100,00
30/11/2010;'carpe';505,00;0,00;0,00
1/12/2010;'carpe';443,50;0,00;0,00
6/12/2010;'carpe';0,00;0,00;189,00
7/12/2010;'carpe';261,00;0,00;0,00
8/12/2010;'carpe';505,00;0,00;0,00
9/12/2010;'carpe';107,00;0,00;0,00
13/12/2010;'carpe';0,00;0,00;194,00
14/12/2010;'carpe';373,00;0,00;0,00
15/12/2010;'carpe';218,00;0,00;0,00
20/12/2010;'carpe';0,00;0,00;282,00
21/12/2010;'carpe';476,00;0,00;0,00
22/12/2010;'carpe';75,00;0,00;0,00
23/12/2010;'carpe';75,00;0,00;0,00
27/12/2010;'carpe';168,00;0,00;0,00
28/12/2010;'carpe';376,00;0,00;0,00
30/12/2010;'carpe';224,50;0,00;0,00
3/1/2011;'carpe';0,00;0,00;190,00
4/1/2011;'carpe';376,00;0,00;0,00
5/1/2011;'carpe';108,00;0,00;0,00
6/1/2011;'carpe';275,00;0,00;0,00
10/1/2011;'carpe';0,00;0,00;189,00
11/1/2011;'carpe';50,00;0,00;0,00
12/1/2011;'carpe';231,00;0,00;0,00
13/1/2011;'carpe';163,00;0,00;0,00
17/1/2011;'carpe';155,00;0,00;0,00
18/1/2011;'carpe';201,00;0,00;0,00
19/1/2011;'carpe';25,00;0,00;0,00
20/1/2011;;240,00;0,00;0,00
20/1/2011;'carpe';240,00;0,00;0,00
24/1/2011;'carpe';125,00;0,00;0,00
26/1/2011;'carpe';280,50;0,00;0,00
31/1/2011;'carpe';271,00;0,00;0,00
2/2/2011;'carpe';167,00;0,00;0,00
8/2/2011;'carpe';286,00;0,00;0,00
9/2/2011;'carpe';254,00;0,00;0,00
10/2/2011;'carpe';8,50;0,00;0,00
14/2/2011;'carpe';9,50;0,00;0,00
15/2/2011;'carpe';245,00;0,00;0,00
16/2/2011;'carpe';229,00;0,00;0,00
17/2/2011;'carpe';134,00;0,00;0,00
18/2/2011;'carpe';152,00;0,00;0,00
21/2/2011;'carpe';83,00;0,00;0,00
22/2/2011;'carpe';79,00;0,00;0,00
1/3/2011;;248,00;0,00;0,00
3/3/2011;'carpe';99,00;0,00;410,00
4/3/2011;'carpe';40,00;0,00;0,00
7/3/2011;'carpe';226,00;0,00;0,00
8/3/2011;'carpe';332,00;0,00;0,00
8/3/2011;'tilapia';175,00;0,00;0,00
4/3/2011;'tilapia';103,00;0,00;0,00
1/3/2011;'tilapia';243,00;0,00;0,00
9/3/2011;'carpe';134,50;0,00;0,00
15/3/2011;;0,00;0,00;0,00
16/3/2011;'carpe';169,00;0,00;0,00
17/3/2011;'carpe';113,00;0,00;0,00
17/3/2011;'tilapia';339,50;0,00;0,00
18/3/2011;'carpe';0,00;0,00;403,00
21/3/2011;'carpe';3,00;0,00;0,00
22/3/2011;'carpe';231,50;0,00;0,00
23/3/2011;'carpe';198,00;0,00;0,00
23/3/2011;'tilapia';129,00;0,00;0,00
22/3/2011;'tilapia';75,50;0,00;0,00
22/3/2011;'carpe';231,50;0,00;0,00
29/3/2011;'carpe';299,00;0,00;0,00
29/3/2011;'tilapia';145,00;0,00;0,00
30/3/2011;'tilapia';92,00;0,00;0,00
30/3/2011;'carpe';157,00;0,00;0,00
31/3/2011;'tilapia';108,00;0,00;0,00
31/3/2011;'carpe';63,00;0,00;0,00
4/4/2011;'carpe';124,00;0,00;0,00
5/4/2011;'tilapia';169,00;0,00;0,00
5/4/2011;'carpe';262,00;0,00;0,00
6/4/2011;'carpe';162,00;0,00;0,00
12/4/2011;'carpe';243,00;0,00;0,00
12/4/2011;'tilapia';327,00;0,00;0,00
13/4/2011;'carpe';300,00;0,00;0,00
13/4/2011;'tilapia';60,00;0,00;0,00
18/4/2011;'carpe';46,00;0,00;0,00
19/4/2011;'carpe';182,00;0,00;0,00
19/4/2011;'tilapia';82,00;0,00;0,00
20/4/2011;'carpe';370,50;0,00;0,00
20/4/2011;'tilapia';97,00;0,00;0,00
26/4/2011;'carpe';31,00;0,00;0,00
27/4/2011;'tilapia';412,50;0,00;0,00
27/4/2011;'carpe';90,50;0,00;0,00
28/4/2011;'carpe';231,00;0,00;0,00
3/5/2011;'carpe';230,00;0,00;0,00
4/5/2011;'carpe';53,00;0,00;0,00
4/5/2011;'tilapia';127,00;0,00;0,00
5/5/2011;'carpe';154,00;0,00;0,00
9/5/2011;'carpe';56,00;0,00;0,00
10/5/2011;'carpe';55,00;0,00;0,00
11/5/2011;'tilapia';301,00;0,00;0,00
11/5/2011;'carpe';201,00;0,00;0,00
30/5/2011;'carpe';8,00;0,00;0,00
31/5/2011;'carpe';315,00;0,00;0,00
31/5/2011;'tilapia';311,00;0,00;0,00
1/6/2011;'carpe';208,00;0,00;0,00
1/6/2011;'tilapia';178,00;0,00;0,00
2/6/2011;'carpe';132,00;0,00;0,00
7/6/2011;'carpe';340,00;0,00;0,00
8/6/2011;'carpe';665,00;0,00;0,00
8/6/2011;'tilapia';191,00;0,00;0,00
9/6/2011;'carpe';233,00;0,00;0,00
14/6/2011;'carpe';138,00;0,00;0,00
14/6/2011;'tilapia';281,00;0,00;0,00
20/6/2011;'carpe';133,00;0,00;0,00
21/6/2011;'tilapia';161,00;0,00;0,00
21/6/2011;'carpe';183,00;0,00;0,00
28/6/2011;'tilapia';191,00;0,00;0,00
28/6/2011;'carpe';98,00;0,00;0,00
29/6/2011;'carpe';322,00;0,00;0,00
5/7/2011;'tilapia';274,00;0,00;0,00
5/7/2011;'carpe';82,00;0,00;0,00
6/7/2011;'carpe';194,00;0,00;0,00
6/7/2011;'tilapia';181,00;0,00;0,00
7/7/2011;'carpe';4,00;0,00;0,00
11/7/2011;'carpe';6,00;0,00;0,00
12/7/2011;;336,00;0,00;0,00
12/7/2011;'carpe';336,00;0,00;0,00
13/7/2011;'carpe';143,00;0,00;0,00
14/7/2011;'carpe';283,00;0,00;0,00
19/7/2011;'tilapia';212,00;0,00;0,00
19/7/2011;'carpe';168,00;0,00;0,00
20/7/2011;'tilapia';240,00;0,00;0,00
20/7/2011;'carpe';133,00;0,00;0,00
26/7/2011;'carpe';340,00;0,00;0,00
26/7/2011;'tilapia';75,00;0,00;0,00
27/7/2011;'carpe';63,00;0,00;0,00
3/8/2011;'carpe';219,00;0,00;0,00
3/8/2011;'tilapia';299,00;0,00;0,00
8/8/2011;'carpe';175,00;0,00;0,00
9/8/2011;'carpe';98,00;0,00;0,00
11/8/2011;'tilapia';461,00;0,00;0,00
11/8/2011;'carpe';115,00;0,00;0,00
10/8/2011;'carpe';392,00;0,00;0,00
12/9/2011;'carpe';63,00;0,00;0,00
13/9/2011;;269,00;0,00;0,00
13/9/2011;'tilapia';269,00;0,00;0,00
13/9/2011;'carpe';249,00;0,00;0,00
14/9/2011;;303,00;0,00;0,00
14/9/2011;'tilapia';303,00;0,00;0,00
14/9/2011;'carpe';276,00;0,00;0,00
19/9/2011;'carpe';188,00;0,00;0,00
20/9/2011;'tilapia';215,00;0,00;0,00
20/9/2011;'carpe';350,00;0,00;0,00
21/9/2011;'tilapia';421,00;0,00;0,00
21/9/2011;'carpe';200,00;0,00;0,00
26/9/2011;'carpe';30,00;0,00;0,00
27/9/2011;'tilapia';187,00;0,00;0,00
27/9/2011;'carpe';695,00;0,00;0,00
28/9/2011;'tilapia';500,00;0,00;0,00
28/9/2011;'carpe';171,00;0,00;0,00
3/10/2011;;159,00;0,00;0,00
4/10/2011;'tilapia';15,00;0,00;0,00
5/10/2011;'tilapia';300,00;0,00;0,00
5/10/2011;'carpe';217,00;0,00;0,00
3/10/2011;'carpe';159,00;0,00;0,00
10/10/2011;'carpe';121,00;0,00;0,00
11/10/2011;'tilapia';332,00;0,00;0,00
11/10/2011;'carpe';495,00;0,00;0,00
13/10/2011;'tilapia';376,00;0,00;0,00
13/10/2011;'carpe';269,00;0,00;0,00
17/10/2011;'carpe';208,00;0,00;0,00
19/10/2011;'tilapia';279,00;0,00;0,00
19/10/2011;'carpe';48,00;0,00;0,00
24/10/2011;'tilapia';85,00;0,00;0,00
24/10/2011;;133,00;0,00;0,00
25/10/2011;'tilapia';300,00;0,00;0,00
25/10/2011;;0,00;0,00;0,00
25/10/2011;'carpe';306,00;0,00;0,00
26/10/2011;;180,00;0,00;0,00
26/10/2011;'tilapia';180,00;0,00;0,00
26/10/2011;'carpe';314,00;0,00;0,00
