,Bassin,Cycle,Lots
981,B16,30,1
982,B07,23,1
983,B27,15,1
984,AD2,17,1
985,B11,25,1
986,B13,23,1
987,B42,15,2
988,B41,16,1
989,AD1,17,2
990,B22,17,2
991,B16,30,2
992,A01,25,1
993,B03,46,1
994,B35,26,1
995,B10,23,1
996,B10,23,2
997,B37,15,1
998,B48,2,1
999,B49,2,1
1000,B19,18,2
1001,B37,15,2
1002,B39,14,1
1003,B12,24,1
1004,B01,41,1
1005,B12,24,2
1006,B34,21,1
1007,B14,23,1
1008,A02,16,1
1009,B44,15,1
1010,B14,23,2
1011,B39,14,2
1012,B39,14,3
1013,A02,16,2
1014,AD1,18,1
1015,B08,30,1
1016,B51,20,1
1017,B34,21,2
1018,B36,27,1
1019,Lag,1,1
1020,B41,16,2
1021,B36,27,2
1022,A03,16,1
1023,B20,20,1
1024,B46,13,1
1025,A03,16,2
1026,B06,24,1
1027,B06,24,2
1028,B27,15,2
1029,B35,26,2
1030,B17,30,2
1031,B51,20,2
1032,B05,25,1
1033,B58,11,1
1034,B31,26,1
1035,B21,17,1
1036,B26,27,1
1037,B20,20,2
1038,AD3,13,1
1039,B05,25,2
1040,B33,18,1
1041,B02,45,1
1042,B29,21,1
1043,B33,18,2
1044,B19,19,1
1045,B40,15,1
1046,B42,16,1
1047,B58,11,2
1048,B57,8,1
1049,B28,17,1
1050,B38,17,1
1051,B19,19,2
1052,AD3,13,2
1053,B28,17,2
1054,B04,26,1
1055,B04,26,2
1056,B53,11,1
1057,B30,19,1
1058,B32,17,1
1059,B32,17,2
1060,B32,17,3
1061,B25,19,1
1062,B25,19,3
1063,B25,19,2
1064,B03,47,1
1065,A02,16,3
1066,B14,24,1
1067,B26,27,2
1068,B14,24,2
1069,A01,26,1
1070,B01,42,1
1071,B16,31,1
1072,B39,15,1
1073,B21,17,2
1074,B07,24,1
1075,A03,17,1
1076,B30,19,2
1077,B38,17,2
1078,B15,41,1
1079,B35,27,1
1080,B45,13,1
1081,B42,16,2
1082,B37,16,1
1083,B05,26,1
1084,B05,26,2
1085,B17,31,1
1086,B17,31,2
1087,B27,16,1
1088,B10,24,1
1089,B41,17,1
1090,B51,21,1
1091,B51,21,2
1092,B10,24,2
1093,B15,41,2
1094,B11,26,1
1095,B46,14,1
1096,B46,14,2
1097,AD2,18,1
1098,B44,16,1
1099,B13,24,1
1100,B45,13,2
1101,B03,48,1
1102,B34,22,1
1103,AD2,18,2
1104,A02,17,1
1105,A02,17,2
1106,B06,25,1
1107,B04,27,1
1108,B25,20,1
1109,B25,20,2
1110,B32,18,1
1111,B32,18,2
1112,B44,16,2
1113,B34,22,2
1114,A01,27,1
1115,B01,43,1
1116,B13,24,2
1117,B12,25,1
1118,B41,17,2
1119,B14,25,1
1120,B29,22,1
1121,Lag,2,1
1122,B31,27,1
1123,B33,19,1
1124,B29,22,2
1125,B16,32,1
1126,B40,16,1
1127,B55,14,1
1128,AD1,19,1
1129,B42,17,1
1130,B42,17,2
1131,B57,9,1
1132,B53,12,1
1133,B08,31,1
1134,B08,31,2
1135,B30,20,1
1136,B43,13,1
1137,B38,18,1
1138,B34,23,1
1139,B34,23,2
1140,B03,49,1
1141,B03,49,2
1142,B58,12,1
1143,B36,28,1
1144,B24,19,1
1145,B24,19,2
1146,B54,15,1
1147,B55,14,2
1148,B44,16,3
1149,B54,15,2
1150,B35,28,1
1151,B57,10,1
1152,B19,20,1
1153,B45,14,1
1154,B21,18,1
1155,B39,16,1
1156,A03,18,1
1157,B23,16,1
1158,B20,21,1
1159,B28,18,1
1160,B52,13,1
1161,B52,13,2
1162,B46,15,1
1163,B06,26,1
1164,B22,18,1
1165,B20,21,2
1166,B25,21,1
1167,B05,27,1
1168,B05,27,2
1169,B04,28,1
1170,B28,18,2
1171,B26,28,1
1172,B51,22,1
1173,B51,22,2
1174,B27,17,1
1175,B27,17,2
1176,MF,1,1
1177,B17,32,1
1178,B17,32,2
1179,B15,42,1
1180,B37,17,1
1181,B15,42,2
1182,B26,28,2
1183,B36,28,2
1184,B36,28,3
1185,B35,29,1
1186,B35,29,2
1187,B19,21,1
1188,B19,21,2
1189,B45,15,1
1190,B24,20,1
1191,B24,20,2
1192,B34,24,1
1193,LAG,3,1
1194,B03,50,1
1195,A02,18,1
1196,B41,18,1
1197,B31,28,1
1198,B44,17,1
1199,B02,46,1
1200,B33,20,1
1201,B57,11,1
1202,B29,23,1
1203,B49,3,1
1204,B49,3,2
1205,B49,4,1
1206,B06,27,1
1207,B32,19,1
1208,B26,29,1
1209,B15,43,1
1210,B16,33,1
1211,B40,17,1
1212,B19,21,3
