'date';'u5';'u6';'u8';'u10';'u12';'u15';'u16/20';'u21/25';'peladas'
21/8/2007;0,00;0,00;8,00;15,00;24,00;0,00;112,00;0,00;7,00
23/8/2007;0,00;0,00;0,00;4,00;15,00;0,00;111,00;0,00;4,00
27/8/2007;0,00;0,00;0,00;7,50;34,50;0,00;152,00;0,00;7,00
30/8/2007;0,00;0,00;0,00;0,00;15,00;0,00;85,00;0,00;0,25
3/9/2007;0,00;0,00;0,00;3,00;20,00;0,00;152,00;0,00;2,50
6/9/2007;0,00;0,00;5,00;10,00;52,50;0,00;293,00;0,00;11,00
10/9/2007;0,00;0,00;0,00;7,50;40,00;0,00;181,00;0,00;3,00
13/9/2007;0,00;0,00;2,50;10,00;41,00;0,00;222,50;0,00;40,00
17/9/2007;0,00;0,00;0,00;15,00;75,00;0,00;264,00;0,00;4,50
20/9/2007;0,00;0,00;0,00;9,00;27,00;0,00;111,50;0,00;1,50
25/9/2007;0,00;0,00;5,00;19,00;41,00;0,00;179,50;0,00;3,50
27/9/2007;0,00;0,00;5,00;23,00;41,00;0,00;90,00;0,00;2,00
1/10/2007;0,00;0,00;1,50;11,50;45,00;0,00;178,00;0,00;0,00
8/10/2007;0,00;0,00;0,00;17,00;80,00;0,00;215,00;0,00;2,00
11/10/2007;0,00;3,00;15,00;25,00;54,00;0,00;135,00;0,00;0,00
15/10/2007;0,00;0,00;15,00;20,00;70,00;0,00;220,00;0,00;7,00
22/10/2007;0,00;0,00;25,00;52,00;20,00;0,00;202,00;0,00;4,00
23/10/2007;0,00;0,00;35,00;20,00;25,00;0,00;72,00;0,00;3,00
25/10/2007;0,00;0,00;10,00;20,00;42,50;0,00;136,50;0,00;2,00
29/10/2007;0,00;0,00;5,00;6,50;15,00;0,00;91,50;0,00;3,00
31/10/2007;0,00;0,00;10,00;10,00;24,00;0,00;82,50;0,00;3,00
1/11/2007;0,00;0,00;10,00;17,50;55,00;0,00;125,00;0,00;4,00
6/11/2007;0,00;10,00;25,00;25,00;42,50;0,00;170,00;0,00;8,00
8/11/2007;0,00;0,00;11,00;0,00;0,00;0,00;80,00;0,00;9,00
12/11/2007;0,00;10,00;23,50;25,00;20,00;0,00;121,50;0,00;5,00
14/11/2007;0,00;0,00;20,00;28,00;40,00;0,00;190,00;0,00;5,00
13/11/2007;0,00;0,00;0,00;0,00;3,50;0,00;22,00;0,00;0,00
15/11/2007;0,00;0,00;35,00;25,00;70,00;0,00;0,00;0,00;5,00
19/11/2007;0,00;0,00;3,00;10,00;32,50;0,00;92,50;0,00;5,00
20/11/2007;0,00;3,52;27,00;42,00;55,00;0,00;211,50;0,00;23,00
21/11/2007;0,00;5,00;5,00;20,00;0,00;0,00;80,00;0,00;0,87
22/11/2007;0,00;0,00;7,50;10,00;15,00;0,00;112,50;0,00;9,00
23/11/2007;0,00;0,00;0,00;0,00;15,00;0,00;64,00;0,00;4,50
26/11/2007;0,00;0,00;21,50;35,00;60,00;0,00;203,00;0,00;24,00
27/11/2007;0,00;0,00;0,00;0,00;7,00;0,00;20,00;0,00;0,00
29/11/2007;0,00;10,00;10,00;13,50;40,00;0,00;105,00;0,00;2,50
30/11/2007;0,00;0,00;20,00;15,00;33,00;0,00;0,00;0,00;3,00
3/12/2007;0,00;35,00;25,00;26,50;40,00;0,00;258,50;0,00;12,00
4/12/2007;0,00;0,00;0,00;0,00;5,00;0,00;41,00;0,00;4,00
5/12/2007;0,00;5,00;15,00;15,00;27,50;0,00;194,50;0,00;18,00
6/12/2007;0,00;0,00;32,50;30,00;39,00;0,00;127,00;22,00;12,00
10/12/2007;0,00;10,50;15,00;18,50;38,50;0,00;195,00;0,00;17,00
13/12/2007;0,00;0,00;11,50;15,00;53,00;0,00;141,00;0,00;4,00
14/12/2007;0,00;10,00;20,00;12,00;15,00;0,00;130,00;0,00;30,00
15/12/2007;0,00;0,00;0,00;1,50;0,00;0,00;2,50;0,00;0,00
17/12/2007;0,00;0,00;13,50;15,00;65,00;0,00;145,00;0,00;8,00
